AgentID,Wealth,Talent,luckyEvents,unluckyEvents,startingCapital
96,1784.0187462745387,0.6008658063788029,2.0,2.0,1784.0187462745387
97,1575.8497167646558,0.6104840651511174,2.0,2.0,1575.8497167646558
98,98.6144694564535,0.8489564911249365,3.0,7.0,1577.831511303256
99,136.36527963383378,0.6606886518615049,2.0,5.0,1090.9222370706702
100,181.8288545311838,0.4882460832321936,2.0,6.0,2909.2616724989407
101,1996.9140142313381,0.6671388319682481,5.0,5.0,1996.9140142313381
102,6001.961897081134,0.7393690018554658,4.0,3.0,3000.980948540567
103,79.49697840941859,0.7467314300096286,2.0,7.0,2543.903309101395
104,31.61299960738381,0.585664477157736,0.0,6.0,2023.2319748725638
105,90.12275143767599,0.6812896291931001,2.0,6.0,1441.9640230028158
106,490.3731608975106,0.6333312464330785,4.0,6.0,1961.4926435900425
107,62.224579327129554,0.5749210032868876,2.0,7.0,1991.1865384681457
108,1380.248249330901,0.5756462210093335,3.0,3.0,1380.248249330901
109,3797.197503876555,0.7254946626063487,4.0,3.0,1898.5987519382775
110,6931.183768821271,0.6426808001834227,5.0,3.0,1732.7959422053177
111,166.04001575882802,0.517373718792281,0.0,4.0,2656.6402521412483
112,124.99975851814662,0.649361403328439,2.0,6.0,1999.996136290346
113,668.4952727218201,0.5098924112963565,1.0,2.0,1336.9905454436403
114,1048.2450362794007,0.5835019797059294,2.0,3.0,2096.4900725588013
115,654.471162877989,0.7143603174894542,1.0,3.0,2617.884651511956
116,162.47977850447916,0.5140440340917697,1.0,5.0,2599.6764560716665
117,1106.025646232803,0.5294000407402303,3.0,4.0,2212.051292465606
118,8757.835230340277,0.6978165886438539,4.0,2.0,2189.4588075850693
119,67.18887670274772,0.614607406381648,1.0,6.0,2150.044054487927
120,43.659885188692265,0.7490425670230995,4.0,9.0,1397.1163260381525
121,122.2800046534295,0.5550076726710055,3.0,7.0,1956.480074454872
122,277.54810984597896,0.498868487621762,1.0,4.0,2220.3848787678317
123,482.9529112928548,0.6592984781856175,4.0,6.0,1931.8116451714193
124,1574.6881441529274,0.6380439217035613,4.0,4.0,1574.6881441529274
125,498.07526117195505,0.711070195317416,3.0,5.0,1992.3010446878202
126,894.0929639840742,0.4446491888631456,3.0,4.0,1788.1859279681485
127,13377.22514750313,0.7074708828642433,5.0,2.0,1672.1531434378912
128,297.37110392460573,0.7386355118993271,2.0,5.0,2378.968831396846
129,5198.697457384996,0.6755968189076083,5.0,4.0,2599.348728692498
130,902.0977642111949,0.48827278730895407,2.0,3.0,1804.1955284223898
131,2686.908391830395,0.469496774045673,4.0,3.0,1343.4541959151975
